2025-03-07 10:16:20,916 - INFO - Starting trading simulation with 1000 orders across 8 threads
2025-03-07 10:16:20,916 - INFO - Added Sell order: NFLX, 77 shares at $356.59 (ID: Sell-NFLX-1741371380.9168375-9349)
2025-03-07 10:16:20,916 - INFO - Added Sell order: PYPL, 100 shares at $115.48 (ID: Sell-PYPL-1741371380.9168375-4023)
2025-03-07 10:16:20,916 - INFO - MATCH: 9 shares of PYPL at $115.48 (Buy ID: Buy-PYPL-1741371380.9168375-9959, Sell ID: Sell-PYPL-1741371380.9168375-4023)
2025-03-07 10:16:20,916 - INFO - MATCH: 82 shares of PYPL at $115.48 (Buy ID: Buy-PYPL-1741371380.9168375-6800, Sell ID: Sell-PYPL-1741371380.9168375-4023)
2025-03-07 10:16:20,916 - INFO - Added Buy order: NFLX, 28 shares at $62.94 (ID: Buy-NFLX-1741371380.9168375-8996)
2025-03-07 10:16:20,916 - INFO - Added Buy order: META, 79 shares at $245.77 (ID: Buy-META-1741371380.9168375-3868)
2025-03-07 10:16:20,916 - INFO - MATCH: 48 shares of META at $75.81 (Buy ID: Buy-META-1741371380.9168375-3868, Sell ID: Sell-META-1741371380.9168375-1793)
2025-03-07 10:16:20,932 - INFO - Added Buy order: MSFT, 52 shares at $319.58 (ID: Buy-MSFT-1741371380.9168375-8826)
2025-03-07 10:16:20,932 - INFO - MATCH: 15 shares of MSFT at $300.37 (Buy ID: Buy-MSFT-1741371380.9168375-8826, Sell ID: Sell-MSFT-1741371380.9168375-9241)
2025-03-07 10:16:20,932 - INFO - Added Sell order: PYPL, 64 shares at $473.12 (ID: Sell-PYPL-1741371380.9320061-5952)
2025-03-07 10:16:20,932 - INFO - Added Buy order: AMZN, 88 shares at $166.07 (ID: Buy-AMZN-1741371380.9320061-8893)
2025-03-07 10:16:20,932 - INFO - Added Sell order: MSFT, 30 shares at $101.21 (ID: Sell-MSFT-1741371380.9320061-9868)
2025-03-07 10:16:20,933 - INFO - MATCH: 30 shares of MSFT at $101.21 (Buy ID: Buy-MSFT-1741371380.9168375-8826, Sell ID: Sell-MSFT-1741371380.9320061-9868)
2025-03-07 10:16:20,933 - INFO - Added Buy order: AMZN, 12 shares at $234.65 (ID: Buy-AMZN-1741371380.9330134-7193)
2025-03-07 10:16:20,933 - INFO - Added Buy order: META, 14 shares at $57.71 (ID: Buy-META-1741371380.9330134-4928)
2025-03-07 10:16:20,933 - INFO - Added Buy order: NFLX, 85 shares at $472.43 (ID: Buy-NFLX-1741371380.9330134-5587)
2025-03-07 10:16:20,933 - INFO - Added Buy order: MSFT, 67 shares at $486.07 (ID: Buy-MSFT-1741371380.9330134-7189)
2025-03-07 10:16:20,934 - INFO - MATCH: 77 shares of NFLX at $356.59 (Buy ID: Buy-NFLX-1741371380.9330134-5587, Sell ID: Sell-NFLX-1741371380.9168375-9349)
2025-03-07 10:16:20,934 - INFO - Added Buy order: NFLX, 22 shares at $253.79 (ID: Buy-NFLX-1741371380.9340115-4137)
2025-03-07 10:16:20,934 - INFO - Added Buy order: AAPL, 32 shares at $66.08 (ID: Buy-AAPL-1741371380.9340115-9298)
2025-03-07 10:16:20,934 - INFO - Added Buy order: META, 8 shares at $416.13 (ID: Buy-META-1741371380.9340115-2415)
2025-03-07 10:16:20,934 - INFO - Added Sell order: AMZN, 15 shares at $453.73 (ID: Sell-AMZN-1741371380.9340115-6169)
2025-03-07 10:16:20,935 - INFO - Added Sell order: TSLA, 29 shares at $226.57 (ID: Sell-TSLA-1741371380.9350128-5994)
2025-03-07 10:16:20,935 - INFO - Added Buy order: GOOG, 24 shares at $285.82 (ID: Buy-GOOG-1741371380.9350128-8957)
2025-03-07 10:16:20,935 - INFO - Added Buy order: AMZN, 35 shares at $76.49 (ID: Buy-AMZN-1741371380.9350128-9366)
2025-03-07 10:16:20,936 - INFO - Added Buy order: META, 58 shares at $342.63 (ID: Buy-META-1741371380.9360127-4022)
2025-03-07 10:16:20,936 - INFO - Added Buy order: META, 20 shares at $254.51 (ID: Buy-META-1741371380.9360127-3067)
2025-03-07 10:16:20,936 - INFO - Added Buy order: NFLX, 28 shares at $268.51 (ID: Buy-NFLX-1741371380.9360127-2892)
2025-03-07 10:16:20,937 - INFO - Added Buy order: TSLA, 59 shares at $151.75 (ID: Buy-TSLA-1741371380.9370124-3930)
2025-03-07 10:16:20,937 - INFO - Added Sell order: PYPL, 48 shares at $362.60 (ID: Sell-PYPL-1741371380.9370124-8455)
2025-03-07 10:16:20,937 - INFO - BUY ORDERS for TSLA:
2025-03-07 10:16:20,937 - INFO - Added Buy order: PYPL, 74 shares at $209.02 (ID: Buy-PYPL-1741371380.9370124-7468)
2025-03-07 10:16:20,937 - INFO - MATCH: 9 shares of PYPL at $115.48 (Buy ID: Buy-PYPL-1741371380.9370124-7468, Sell ID: Sell-PYPL-1741371380.9168375-4023)
2025-03-07 10:16:20,937 - INFO - Added Sell order: GOOG, 63 shares at $225.79 (ID: Sell-GOOG-1741371380.9370124-9756)
2025-03-07 10:16:20,938 - INFO - MATCH: 22 shares of GOOG at $225.79 (Buy ID: Buy-GOOG-1741371380.9168375-6408, Sell ID: Sell-GOOG-1741371380.9370124-9756)
2025-03-07 10:16:20,938 - INFO - MATCH: 24 shares of GOOG at $225.79 (Buy ID: Buy-GOOG-1741371380.9350128-8957, Sell ID: Sell-GOOG-1741371380.9370124-9756)
2025-03-07 10:16:20,938 - INFO - Added Buy order: META, 59 shares at $486.40 (ID: Buy-META-1741371380.9380136-4958)
2025-03-07 10:16:20,938 - INFO - MATCH: 30 shares of META at $473.67 (Buy ID: Buy-META-1741371380.9380136-4958, Sell ID: Sell-META-1741371380.9168375-3456)
2025-03-07 10:16:20,938 - INFO -   59 shares at $151.75 (ID: Buy-TSLA-1741371380.9370124-3930)
2025-03-07 10:16:20,938 - INFO - Added Sell order: META, 73 shares at $238.21 (ID: Sell-META-1741371380.9380136-2280)
2025-03-07 10:16:20,939 - INFO - Added Buy order: NFLX, 5 shares at $323.90 (ID: Buy-NFLX-1741371380.9390125-8284)
2025-03-07 10:16:20,939 - INFO - MATCH: 29 shares of META at $238.21 (Buy ID: Buy-META-1741371380.9380136-4958, Sell ID: Sell-META-1741371380.9380136-2280)
2025-03-07 10:16:20,939 - INFO - Added Sell order: PYPL, 39 shares at $257.34 (ID: Sell-PYPL-1741371380.9390125-3139)
2025-03-07 10:16:20,939 - INFO - Added Buy order: INTC, 53 shares at $197.85 (ID: Buy-INTC-1741371380.9390125-7778)
2025-03-07 10:16:20,939 - INFO - MATCH: 8 shares of META at $238.21 (Buy ID: Buy-META-1741371380.9340115-2415, Sell ID: Sell-META-1741371380.9380136-2280)
2025-03-07 10:16:20,939 - INFO - MATCH: 36 shares of META at $238.21 (Buy ID: Buy-META-1741371380.9360127-4022, Sell ID: Sell-META-1741371380.9380136-2280)
2025-03-07 10:16:20,940 - INFO - SELL ORDERS for TSLA:
2025-03-07 10:16:20,940 - INFO - MATCH: 1 shares of INTC at $147.19 (Buy ID: Buy-INTC-1741371380.9390125-7778, Sell ID: Sell-INTC-1741371380.9168375-2628)
2025-03-07 10:16:20,940 - INFO - Added Sell order: NFLX, 32 shares at $261.98 (ID: Sell-NFLX-1741371380.940012-8770)
2025-03-07 10:16:20,940 - INFO - MATCH: 8 shares of NFLX at $261.98 (Buy ID: Buy-NFLX-1741371380.9330134-5587, Sell ID: Sell-NFLX-1741371380.940012-8770)
2025-03-07 10:16:20,940 - INFO - MATCH: 5 shares of NFLX at $261.98 (Buy ID: Buy-NFLX-1741371380.9390125-8284, Sell ID: Sell-NFLX-1741371380.940012-8770)
2025-03-07 10:16:20,940 - INFO - MATCH: 19 shares of NFLX at $261.98 (Buy ID: Buy-NFLX-1741371380.9360127-2892, Sell ID: Sell-NFLX-1741371380.940012-8770)
2025-03-07 10:16:20,941 - INFO - Added Sell order: NFLX, 69 shares at $86.70 (ID: Sell-NFLX-1741371380.941013-6552)
2025-03-07 10:16:20,941 - INFO - MATCH: 9 shares of NFLX at $86.70 (Buy ID: Buy-NFLX-1741371380.9360127-2892, Sell ID: Sell-NFLX-1741371380.941013-6552)
2025-03-07 10:16:20,941 - INFO -   29 shares at $226.57 (ID: Sell-TSLA-1741371380.9350128-5994)
2025-03-07 10:16:20,941 - INFO - Added Buy order: TSLA, 74 shares at $452.54 (ID: Buy-TSLA-1741371380.941013-7722)
2025-03-07 10:16:20,941 - INFO - MATCH: 22 shares of NFLX at $86.70 (Buy ID: Buy-NFLX-1741371380.9340115-4137, Sell ID: Sell-NFLX-1741371380.941013-6552)
2025-03-07 10:16:20,941 - INFO - MATCH: 5 shares of NFLX at $86.70 (Buy ID: Buy-NFLX-1741371380.9168375-2034, Sell ID: Sell-NFLX-1741371380.941013-6552)
2025-03-07 10:16:20,941 - INFO - MATCH: 33 shares of NFLX at $86.70 (Buy ID: Buy-NFLX-1741371380.9168375-8032, Sell ID: Sell-NFLX-1741371380.941013-6552)
2025-03-07 10:16:20,942 - INFO - MATCH: 29 shares of TSLA at $226.57 (Buy ID: Buy-TSLA-1741371380.941013-7722, Sell ID: Sell-TSLA-1741371380.9350128-5994)
2025-03-07 10:16:20,942 - INFO - Added Buy order: GOOG, 12 shares at $90.87 (ID: Buy-GOOG-1741371380.9420128-8741)
2025-03-07 10:16:20,942 - INFO - Added Buy order: META, 44 shares at $407.00 (ID: Buy-META-1741371380.9420128-1097)
2025-03-07 10:16:20,942 - INFO - Added Buy order: AMZN, 62 shares at $199.84 (ID: Buy-AMZN-1741371380.9420128-4438)
2025-03-07 10:16:20,942 - INFO - Added Buy order: INTC, 33 shares at $236.21 (ID: Buy-INTC-1741371380.9420128-3318)
2025-03-07 10:16:20,942 - INFO - MATCH: 17 shares of INTC at $223.09 (Buy ID: Buy-INTC-1741371380.9420128-3318, Sell ID: Sell-INTC-1741371380.9168375-4494)
2025-03-07 10:16:20,942 - INFO - Added Buy order: MSFT, 1 shares at $80.42 (ID: Buy-MSFT-1741371380.9420128-2716)
2025-03-07 10:16:20,942 - INFO - Added Buy order: PYPL, 92 shares at $356.64 (ID: Buy-PYPL-1741371380.9420128-4010)
2025-03-07 10:16:20,942 - INFO - Added Buy order: PYPL, 12 shares at $389.20 (ID: Buy-PYPL-1741371380.9420128-2797)
2025-03-07 10:16:20,942 - INFO - MATCH: 12 shares of PYPL at $257.34 (Buy ID: Buy-PYPL-1741371380.9420128-2797, Sell ID: Sell-PYPL-1741371380.9390125-3139)
2025-03-07 10:16:20,942 - INFO - MATCH: 27 shares of PYPL at $257.34 (Buy ID: Buy-PYPL-1741371380.9420128-4010, Sell ID: Sell-PYPL-1741371380.9390125-3139)
2025-03-07 10:16:20,942 - INFO - Added Buy order: PYPL, 3 shares at $144.05 (ID: Buy-PYPL-1741371380.9420128-2411)
2025-03-07 10:16:20,942 - INFO - Added Buy order: AAPL, 28 shares at $254.18 (ID: Buy-AAPL-1741371380.9420128-7288)
2025-03-07 10:16:20,942 - INFO - MATCH: 28 shares of AAPL at $228.89 (Buy ID: Buy-AAPL-1741371380.9420128-7288, Sell ID: Sell-AAPL-1741371380.9168375-4252)
2025-03-07 10:16:20,942 - INFO - Added Buy order: NFLX, 38 shares at $104.34 (ID: Buy-NFLX-1741371380.9420128-2288)
2025-03-07 10:16:20,942 - INFO - Added Sell order: TSLA, 3 shares at $366.49 (ID: Sell-TSLA-1741371380.9420128-5582)
2025-03-07 10:16:20,942 - INFO - MATCH: 3 shares of TSLA at $366.49 (Buy ID: Buy-TSLA-1741371380.941013-7722, Sell ID: Sell-TSLA-1741371380.9420128-5582)
2025-03-07 10:16:20,942 - INFO - Added Sell order: INTC, 22 shares at $192.01 (ID: Sell-INTC-1741371380.9420128-7451)
2025-03-07 10:16:20,942 - INFO - Added Sell order: NVDA, 71 shares at $345.93 (ID: Sell-NVDA-1741371380.9420128-7599)
2025-03-07 10:16:20,942 - INFO - MATCH: 2 shares of NVDA at $345.93 (Buy ID: Buy-NVDA-1741371380.9168375-2039, Sell ID: Sell-NVDA-1741371380.9420128-7599)
2025-03-07 10:16:20,942 - INFO - MATCH: 16 shares of INTC at $192.01 (Buy ID: Buy-INTC-1741371380.9420128-3318, Sell ID: Sell-INTC-1741371380.9420128-7451)
2025-03-07 10:16:20,942 - INFO - Added Buy order: AAPL, 77 shares at $325.58 (ID: Buy-AAPL-1741371380.9420128-1671)
2025-03-07 10:16:20,942 - INFO - MATCH: 6 shares of INTC at $192.01 (Buy ID: Buy-INTC-1741371380.9390125-7778, Sell ID: Sell-INTC-1741371380.9420128-7451)
2025-03-07 10:16:20,942 - INFO - MATCH: 32 shares of AAPL at $228.89 (Buy ID: Buy-AAPL-1741371380.9420128-1671, Sell ID: Sell-AAPL-1741371380.9168375-4252)
2025-03-07 10:16:20,942 - INFO - Added Sell order: PYPL, 91 shares at $146.16 (ID: Sell-PYPL-1741371380.9420128-5187)
2025-03-07 10:16:20,942 - INFO - MATCH: 65 shares of PYPL at $146.16 (Buy ID: Buy-PYPL-1741371380.9420128-4010, Sell ID: Sell-PYPL-1741371380.9420128-5187)
2025-03-07 10:16:20,942 - INFO - MATCH: 26 shares of PYPL at $146.16 (Buy ID: Buy-PYPL-1741371380.9370124-7468, Sell ID: Sell-PYPL-1741371380.9420128-5187)
2025-03-07 10:16:20,942 - INFO - Added Sell order: GOOG, 72 shares at $213.01 (ID: Sell-GOOG-1741371380.9420128-8356)
2025-03-07 10:16:20,946 - INFO - Added Buy order: GOOG, 68 shares at $233.72 (ID: Buy-GOOG-1741371380.946939-7020)
2025-03-07 10:16:20,946 - INFO - MATCH: 68 shares of GOOG at $213.01 (Buy ID: Buy-GOOG-1741371380.946939-7020, Sell ID: Sell-GOOG-1741371380.9420128-8356)
2025-03-07 10:16:20,946 - INFO - Added Buy order: INTC, 33 shares at $160.42 (ID: Buy-INTC-1741371380.946939-3325)
2025-03-07 10:16:20,946 - INFO - Added Sell order: AAPL, 47 shares at $190.26 (ID: Sell-AAPL-1741371380.946939-2059)
2025-03-07 10:16:20,946 - INFO - MATCH: 45 shares of AAPL at $190.26 (Buy ID: Buy-AAPL-1741371380.9420128-1671, Sell ID: Sell-AAPL-1741371380.946939-2059)
2025-03-07 10:16:20,946 - INFO - Added Sell order: AAPL, 44 shares at $197.08 (ID: Sell-AAPL-1741371380.946939-7889)
2025-03-07 10:16:20,947 - INFO - Added Sell order: TSLA, 8 shares at $279.19 (ID: Sell-TSLA-1741371380.9479442-8957)
2025-03-07 10:16:20,947 - INFO - MATCH: 2 shares of AAPL at $190.26 (Buy ID: Buy-AAPL-1741371380.9168375-8710, Sell ID: Sell-AAPL-1741371380.946939-2059)
2025-03-07 10:16:20,947 - INFO - MATCH: 44 shares of AAPL at $197.08 (Buy ID: Buy-AAPL-1741371380.9168375-8710, Sell ID: Sell-AAPL-1741371380.946939-7889)
2025-03-07 10:16:20,947 - INFO - MATCH: 8 shares of TSLA at $279.19 (Buy ID: Buy-TSLA-1741371380.941013-7722, Sell ID: Sell-TSLA-1741371380.9479442-8957)
2025-03-07 10:16:20,947 - INFO - Added Sell order: TSLA, 98 shares at $481.39 (ID: Sell-TSLA-1741371380.9479442-5250)
2025-03-07 10:16:20,947 - INFO - Added Sell order: NVDA, 11 shares at $298.99 (ID: Sell-NVDA-1741371380.9479442-7071)
2025-03-07 10:16:20,948 - INFO - Added Sell order: NVDA, 19 shares at $326.80 (ID: Sell-NVDA-1741371380.948944-1230)
2025-03-07 10:16:20,948 - INFO - Added Sell order: NFLX, 37 shares at $329.10 (ID: Sell-NFLX-1741371380.948944-2533)
2025-03-07 10:16:20,948 - INFO - Added Sell order: TSLA, 66 shares at $428.04 (ID: Sell-TSLA-1741371380.948944-4939)
2025-03-07 10:16:20,948 - INFO - MATCH: 34 shares of TSLA at $428.04 (Buy ID: Buy-TSLA-1741371380.941013-7722, Sell ID: Sell-TSLA-1741371380.948944-4939)
2025-03-07 10:16:20,949 - INFO - Added Sell order: PYPL, 9 shares at $323.02 (ID: Sell-PYPL-1741371380.948944-3403)
2025-03-07 10:16:20,949 - INFO - Added Buy order: NFLX, 58 shares at $274.99 (ID: Buy-NFLX-1741371380.9496374-3618)
2025-03-07 10:16:20,949 - INFO - Added Buy order: TSLA, 35 shares at $314.18 (ID: Buy-TSLA-1741371380.9496374-2653)
2025-03-07 10:16:20,949 - INFO - Added Sell order: NVDA, 18 shares at $178.72 (ID: Sell-NVDA-1741371380.9496374-8135)
2025-03-07 10:16:20,949 - INFO - Added Buy order: MSFT, 15 shares at $97.16 (ID: Buy-MSFT-1741371380.9496374-4624)
2025-03-07 10:16:20,949 - INFO - Added Sell order: MSFT, 58 shares at $172.71 (ID: Sell-MSFT-1741371380.9496374-8774)
2025-03-07 10:16:20,949 - INFO - MATCH: 58 shares of MSFT at $172.71 (Buy ID: Buy-MSFT-1741371380.9330134-7189, Sell ID: Sell-MSFT-1741371380.9496374-8774)
2025-03-07 10:16:20,949 - INFO - Added Sell order: AAPL, 87 shares at $207.95 (ID: Sell-AAPL-1741371380.9496374-8660)
2025-03-07 10:16:20,949 - INFO - Added Sell order: GOOG, 92 shares at $237.75 (ID: Sell-GOOG-1741371380.9496374-3024)
2025-03-07 10:16:20,949 - INFO - Added Sell order: AMZN, 15 shares at $244.29 (ID: Sell-AMZN-1741371380.9496374-8936)
2025-03-07 10:16:20,949 - INFO - Added Buy order: MSFT, 64 shares at $358.71 (ID: Buy-MSFT-1741371380.9496374-8543)
2025-03-07 10:16:20,949 - INFO - Added Sell order: TSLA, 91 shares at $451.20 (ID: Sell-TSLA-1741371380.9496374-8028)
2025-03-07 10:16:20,949 - INFO - Added Buy order: MSFT, 8 shares at $145.48 (ID: Buy-MSFT-1741371380.9496374-5631)
2025-03-07 10:16:20,949 - INFO - BUY ORDERS for MSFT:
2025-03-07 10:16:20,949 - INFO - Added Buy order: AMZN, 99 shares at $395.71 (ID: Buy-AMZN-1741371380.9496374-1913)
2025-03-07 10:16:20,949 - INFO - MATCH: 15 shares of AMZN at $244.29 (Buy ID: Buy-AMZN-1741371380.9496374-1913, Sell ID: Sell-AMZN-1741371380.9496374-8936)
2025-03-07 10:16:20,949 - INFO - MATCH: 84 shares of AMZN at $345.39 (Buy ID: Buy-AMZN-1741371380.9496374-1913, Sell ID: Sell-AMZN-1741371380.9168375-7479)
2025-03-07 10:16:20,953 - INFO - Added Buy order: AAPL, 98 shares at $498.85 (ID: Buy-AAPL-1741371380.9533975-1731)
2025-03-07 10:16:20,953 - INFO - MATCH: 87 shares of AAPL at $207.95 (Buy ID: Buy-AAPL-1741371380.9533975-1731, Sell ID: Sell-AAPL-1741371380.9496374-8660)
2025-03-07 10:16:20,953 - INFO - Added Buy order: AAPL, 89 shares at $174.52 (ID: Buy-AAPL-1741371380.9533975-3860)
2025-03-07 10:16:20,953 - INFO - Added Sell order: MSFT, 36 shares at $334.46 (ID: Sell-MSFT-1741371380.9533975-4507)
2025-03-07 10:16:20,953 - INFO -   9 shares at $486.07 (ID: Buy-MSFT-1741371380.9330134-7189)
2025-03-07 10:16:20,953 - INFO - MATCH: 9 shares of MSFT at $334.46 (Buy ID: Buy-MSFT-1741371380.9330134-7189, Sell ID: Sell-MSFT-1741371380.9533975-4507)
2025-03-07 10:16:20,953 - INFO - Added Sell order: GOOG, 41 shares at $447.40 (ID: Sell-GOOG-1741371380.9533975-6474)
2025-03-07 10:16:20,953 - INFO - Added Buy order: NFLX, 73 shares at $202.66 (ID: Buy-NFLX-1741371380.9533975-7108)
2025-03-07 10:16:20,954 - INFO - MATCH: 27 shares of MSFT at $334.46 (Buy ID: Buy-MSFT-1741371380.9496374-8543, Sell ID: Sell-MSFT-1741371380.9533975-4507)
2025-03-07 10:16:20,954 - INFO - Added Buy order: NFLX, 91 shares at $417.89 (ID: Buy-NFLX-1741371380.9546316-4530)
2025-03-07 10:16:20,954 - INFO - MATCH: 37 shares of NFLX at $329.10 (Buy ID: Buy-NFLX-1741371380.9546316-4530, Sell ID: Sell-NFLX-1741371380.948944-2533)
2025-03-07 10:16:20,954 - INFO - Added Sell order: MSFT, 87 shares at $213.47 (ID: Sell-MSFT-1741371380.9546316-4438)
2025-03-07 10:16:20,954 - INFO -   37 shares at $358.71 (ID: Buy-MSFT-1741371380.9496374-8543)
2025-03-07 10:16:20,954 - INFO - MATCH: 37 shares of MSFT at $213.47 (Buy ID: Buy-MSFT-1741371380.9496374-8543, Sell ID: Sell-MSFT-1741371380.9546316-4438)
2025-03-07 10:16:20,954 - INFO - MATCH: 7 shares of MSFT at $213.47 (Buy ID: Buy-MSFT-1741371380.9168375-8826, Sell ID: Sell-MSFT-1741371380.9546316-4438)
2025-03-07 10:16:20,955 - INFO - Added Sell order: TSLA, 85 shares at $151.64 (ID: Sell-TSLA-1741371380.9556303-7587)
2025-03-07 10:16:20,955 - INFO - MATCH: 35 shares of TSLA at $151.64 (Buy ID: Buy-TSLA-1741371380.9496374-2653, Sell ID: Sell-TSLA-1741371380.9556303-7587)
2025-03-07 10:16:20,955 - INFO - MATCH: 50 shares of TSLA at $151.64 (Buy ID: Buy-TSLA-1741371380.9370124-3930, Sell ID: Sell-TSLA-1741371380.9556303-7587)
2025-03-07 10:16:20,955 - INFO - Added Buy order: AAPL, 49 shares at $485.25 (ID: Buy-AAPL-1741371380.9556303-6675)
2025-03-07 10:16:20,956 - INFO - Added Sell order: PYPL, 47 shares at $399.41 (ID: Sell-PYPL-1741371380.9562879-5889)
2025-03-07 10:16:20,956 - INFO -   0 shares at $319.58 (ID: Buy-MSFT-1741371380.9168375-8826)
2025-03-07 10:16:20,956 - INFO - Added Buy order: META, 24 shares at $367.16 (ID: Buy-META-1741371380.9562879-7326)
2025-03-07 10:16:20,956 - INFO - Added Buy order: NVDA, 42 shares at $262.91 (ID: Buy-NVDA-1741371380.9562879-9821)
2025-03-07 10:16:20,956 - INFO - MATCH: 18 shares of NVDA at $178.72 (Buy ID: Buy-NVDA-1741371380.9562879-9821, Sell ID: Sell-NVDA-1741371380.9496374-8135)
2025-03-07 10:16:20,957 - INFO - Added Sell order: PYPL, 61 shares at $285.58 (ID: Sell-PYPL-1741371380.95721-6475)
2025-03-07 10:16:20,957 - INFO - Added Sell order: NFLX, 56 shares at $391.34 (ID: Sell-NFLX-1741371380.95721-3460)
2025-03-07 10:16:20,957 - INFO - MATCH: 54 shares of NFLX at $391.34 (Buy ID: Buy-NFLX-1741371380.9546316-4530, Sell ID: Sell-NFLX-1741371380.95721-3460)
2025-03-07 10:16:20,957 - INFO - Added Sell order: NVDA, 8 shares at $218.40 (ID: Sell-NVDA-1741371380.95721-5543)
2025-03-07 10:16:20,958 - INFO -   8 shares at $145.48 (ID: Buy-MSFT-1741371380.9496374-5631)
